Hogwarts House,Astronomy,Defense Against the Dark Arts,Divination,Ancient Runes,History of Magic,Transfiguration,Charms,Flying
Ravenclaw,-0.38670081720446675,0.6317656704493708,0.4116574476158545,0.8005454179664397,0.2256985352570994,0.21544541180941015,0.9201639332829744,0.11905048676560077
Slytherin,-0.2572695147250421,0.49750124438069593,-0.8490091291809096,-0.20779154254433035,0.09345279537417119,0.10362122943996939,-0.4065739653391766,-0.1325759804070993
Gryffindor,0.21242353023214608,0.026869960519386605,-0.20095641039965725,0.36662289947398496,-0.5501054914315606,-0.5794923517365886,-0.5363180663587738,0.6318918717873453
Hufflepuff,0.7208234888315598,-0.4906854577025182,0.24401485067763443,-0.6016483115354007,0.36448336725710073,0.3561400512895068,-0.18022726055683225,-0.1106001589084562
